Address Offset,Name,Value,Type,Size,Scale Factor,Units,Mandatory (M),Label,Sol-Ark Register ID,Sol-Ark Register Desc,Notes
94,TotWhInjL3,,uint64,,TotWh_SF,Wh,,Total Watt-Hours Inj L3,UNIMPLEMENTED,,
98,TotWhAbsL3,,uint64,,TotWh_SF,Wh,,Total Watt-Hours Abs L3,UNIMPLEMENTED,,
102,TotVarhInjL3,,uint64,,TotVarh_SF,Varh,,Total Var-Hours Inj L3,UNIMPLEMENTED,,
106,TotVarhAbsL3,,uint64,,TotVarh_SF,Varh,,Total Var-Hours Abs L3,UNIMPLEMENTED,,
Active Power Throttling,,,,,,,,,UNIMPLEMENTED,,
110,ThrotPct,,uint16,,,Pct,,Throttling In Pct,,,
111,ThrotSrc,,bitfield32,,,,,Throttle Source Information,,,
,MAX_W,0,,,,,,,,,
,FIXED_W,1,,,,,,,,,
,FIXED_VAR,2,,,,,,,,,
,FIXED_PF,3,,,,,,,,,
,VOLT_VAR,4,,,,,,,,,
,FREQ_WATT,5,,,,,,,,,
,DYN_REACT_CURR,6,,,,,,,,,
,LVRT,7,,,,,,,,,
,HVRT,8,,,,,,,,,
,WATT_VAR,9,,,,,,,,,
,VOLT_WATT,10,,,,,,,,,
,SCHEDULED,11,,,,,,,,,
,LFRT,12,,,,,,,,,
,HFRT,13,,,,,,,,,
,DERATED,14,,,,,,,,,
Scale Factors,,,,,,,,,,,
113,A_SF,,sunssf,,,,,Current Scale Factor,,,
114,V_SF,,sunssf,,,,,Voltage Scale Factor,,,
115,Hz_SF,,sunssf,,,,,Frequency Scale Factor,,,
116,W_SF,,sunssf,,,,,Active Power Scale Factor,,,
117,PF_SF,,sunssf,,,,,Power Factor Scale Factor,,,
118,VA_SF,,sunssf,,,,,Apparent Power Scale Factor,,,
119,Var_SF,,sunssf,,,,,Reactive Power Scale Factor,,,
120,TotWh_SF,,sunssf,,,,,Active Energy Scale Factor,,,
121,TotVarh_SF,,sunssf,,,,,Reactive Energy Scale Factor,,,
122,Tmp_SF,,sunssf,,,,,Temperature Scale Factor,,,
Manufacturer Alarm Information,,,,,,,,,,,
123,MnAlrmInfo,,string,32,,,,Manufacturer Alarm Info,,,
